Finding #,Finding Title,Primary Classification,Disposition Recommendation,Proposed Cluster,Related Findings,Confidence,Short Rationale
1923,Spatial Ground Must Preserve the Distinction Between Use and Spatial Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#1793, #1786, #1922",HIGH,RESTATEMENT. Parent #4 via #1793.
1924,Spatial Ground Must Preserve the Distinction Between State and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#44, #72, #1925",HIGH,"RESTATEMENT. Parents #4 and #44. FOUNDATIONAL AUTHORITY GAP: ""unless foundational Ground itself changes""."
1925,Spatial Ground Must Preserve the Distinction Between History and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#1501, #45, #1924",HIGH,RESTATEMENT. Parent #4 via #45 and #1501.
1926,Spatial Ground Must Preserve the Distinction Between Description and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#1792, #74, #1927",HIGH,RESTATEMENT. Parent #4 via #74 and #1792.
1927,Spatial Ground Must Preserve the Distinction Between Perception and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#110, #42, #1926",HIGH,RESTATEMENT. Parent #4 via #42 and #110.
1928,Spatial Ground Must Preserve the Distinction Between Interpretation and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#184, #1866, #1927",HIGH,RESTATEMENT. Parents #4 and #8 via #184.
1929,Spatial Ground Must Preserve the Distinction Between Symbol and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #1783, #1930",HIGH,INSTANCE. Parent #19: a symbol for a place is not the place.
1930,Spatial Ground Must Preserve the Distinction Between Model and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#216, #65, #1929",HIGH,RESTATEMENT. Parents #65 and #216: identity invariant across equivalent models.
1931,Spatial Ground Must Preserve the Distinction Between Coordinate and Place,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#1278, #1101, #574",HIGH,"RESTATEMENT. Parents #12 and #13 via #574, #1101 and #1278: a coordinate is a reference position; place needs the further Ground truth that the position participates in The World. AUTHORITY: FSF. Shows what Ground natively adds, and it is participation alone."
1932,Spatial Ground Must Preserve the Distinction Between Point and Place,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#1111, #1931, #1810",MEDIUM,"RESTATEMENT. Parent #1111, in vaguer terms: place identity ""may require the broader membership and relational semantics established by Ground"". The only hint in the corpus of Ground-native content beyond membership, and it is unexplained."
1933,Spatial Ground Must Preserve the Distinction Between Geometry and Place,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey-to-World Relationship,"#25, #1278, #1931",HIGH,"RESTATEMENT. Parents #12 and #25 via #1278: geometry describes form, Ground says whether that form participates. AUTHORITY: geometry is FSF's."
1934,Spatial Ground Must Preserve the Distinction Between Shape and Place,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Placement,"#563, #1238, #1935",HIGH,RESTATEMENT. Parent #46 via #563.
1935,Spatial Ground Must Preserve the Distinction Between Extent and Place Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Placement,"#563, #1810, #1934",HIGH,INSTANCE. Parents #46 and #1810: equal area is not the same place.
1936,Spatial Ground Must Preserve the Distinction Between Connectivity and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#1810, #1813, #22",HIGH,INSTANCE. Parent #1810: connected is not identical.
1937,Spatial Ground Must Preserve the Distinction Between Boundary and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#1427, #17, #785",HIGH,RESTATEMENT. Parents #8 and #58 via #17 and #1427: World-space identity is not reducible to a visual or separately interpreted boundary object. Consistent with #1870; reserved #785 stays reserved.
1938,Spatial Ground Must Preserve the Distinction Between Membership and Adjacency,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Connectedness and Topology,"#96, #825, #1939",HIGH,INSTANCE. Parent #96: membership and adjacency are separate questions. AUTHORITY: adjacency is FSF's.
1939,Spatial Ground Must Preserve the Distinction Between Membership and Contiguity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Connectedness and Topology,"#96, #1938, #22",HIGH,INSTANCE. Parent #96: contiguity never substitutes for membership.
1940,Spatial Ground Must Preserve the Distinction Between Membership and Reachability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#310, #1155, #1956",HIGH,INSTANCE. Parents #4 and #20 via #310: no route to a place.
1941,Spatial Ground Must Preserve the Distinction Between Membership and Visibility,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#308, #50, #1199",HIGH,RESTATEMENT. Parent #4 via #308.
1942,Spatial Ground Must Preserve the Distinction Between Membership and Simulatability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Runtime Independence,"#41, #1848, #238",HIGH,RESTATEMENT. Parent #4 via #41.
1943,Spatial Ground Must Preserve the Distinction Between Membership and Parcelization,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,"#35, #32, #1159",HIGH,RESTATEMENT. Parent #6 via #35.
1944,Spatial Ground Must Preserve the Distinction Between Membership and Regionhood,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#37, #1160, #1943",HIGH,RESTATEMENT. Parent #4 via #37.
1945,Spatial Ground Must Preserve the Distinction Between Membership and Naming,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#74, #1426, #1867",HIGH,RESTATEMENT. Parent #4 via #74.
1946,Spatial Ground Must Preserve the Distinction Between Membership and Value,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#313, #1794, #1839",HIGH,RESTATEMENT. Parent #20 via #313.
1947,Spatial Ground Must Preserve the Distinction Between Membership and Authority Over Place,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Rights / Governance Independence,"#1864, #76, #40",HIGH,RESTATEMENT. Parent #4 via #76 and #1864.
1948,Spatial Ground Must Preserve the Distinction Between Membership and Institutional Recognition,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#600, #1743, #132",HIGH,RESTATEMENT. Parent #4 via #600.
1949,Spatial Ground Must Preserve the Distinction Between Membership and Observation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#32, #1128, #1842",HIGH,RESTATEMENT. Parent #4 via #32.
1950,Spatial Ground Must Preserve the Distinction Between Membership and Memory,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,"#999, #1717, #148",HIGH,RESTATEMENT. Parents #4 and #27 via #999.
1951,Spatial Ground Must Preserve the Distinction Between Membership and Documentation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#18, #1199, #1952",HIGH,RESTATEMENT. Parent #18: no location needs its own record.
1952,Spatial Ground Must Preserve the Distinction Between Membership and Enumeration,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#1431, #18, #1951",HIGH,INSTANCE. Parents #18 and #1431: a list neither creates nor removes membership where a deeper rule governs.
1953,Spatial Ground Must Preserve the Distinction Between Membership and Materialization,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#1199, #18, #1951",HIGH,RESTATEMENT. Parent #18 via #1199.
1954,Spatial Ground Must Preserve the Distinction Between Membership and Indexing,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #78, #1846",HIGH,INSTANCE. Parent #19: indexing.
1955,Spatial Ground Must Preserve the Distinction Between Membership and Discoverability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#32, #1128, #1954",HIGH,INSTANCE. Parent #4 via #32: discoverability.
1956,Spatial Ground Must Preserve the Distinction Between Membership and Accessibility,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#309, #1859, #1940",HIGH,RESTATEMENT. Parent #20 via #309.
1957,Spatial Ground Must Preserve the Distinction Between Membership and Availability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#205, #1335, #1083",HIGH,RESTATEMENT. Parents #19 and #15 via #205.
1958,Spatial Ground Must Preserve the Distinction Between Membership and Computability at a Given Moment,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#1336, #1337, #1957",HIGH,RESTATEMENT. Parent #15 via #1336.
1959,Spatial Ground Must Preserve the Distinction Between Membership and Cached State,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#78, #594, #1960",HIGH,RESTATEMENT. Parent #19 via #78.
1960,Spatial Ground Must Preserve the Distinction Between Membership and Synchronization State,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#986, #988, #1959",HIGH,RESTATEMENT. Parents #8 and #19 via #986 and #988.
1961,Spatial Ground Must Preserve the Distinction Between Canonical Truth and Local Knowledge,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#1336, #1958, #1962",HIGH,RESTATEMENT. Parent #15 via #1336.
1962,Spatial Ground Must Preserve the Distinction Between Canonical Truth and Replicated Knowledge,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#207, #1910, #1961",HIGH,RESTATEMENT. Parent #8 via #207.
1963,Spatial Ground Must Preserve the Distinction Between Canonical Truth and Consensus About Truth,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Institutional Authority and Adoption,"#662, #1433, #1964",HIGH,RESTATEMENT. Parents #8 and #64 via #662 and #1433: agreement confirms consistency and creates nothing. Bears on reserved #661 by exclusion.
1964,Spatial Ground Must Preserve the Distinction Between Canonical Truth and Majority Belief,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Institutional Authority and Adoption,"#662, #1963, #507",HIGH,RESTATEMENT. Parent #8 via #662.
1965,Spatial Ground Must Preserve the Distinction Between Canonical Truth and Implementation Habit,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#887, #1411, #1966",HIGH,"RESTATEMENT. Parents #19 and #58 via #887 and #1411. AUTHORITY GAP: ""unless formally adopted into the governing architecture""."
1966,Spatial Ground Must Preserve the Distinction Between Canonical Truth and De Facto Convention,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#1411, #1893, #503",HIGH,"RESTATEMENT. Parent #1411, with #1893. Sharpens the scope class: a convention becomes canonical only by meeting ""the same requirement and adoption standards"" as any permanent Ground rule, so the scope decision runs through the ordinary adopter. AUTHORITY GAP: that adopter is still unnamed."
1967,Spatial Ground Must Preserve the Distinction Between Canonical Truth and Legacy Behavior,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,"#67, #497, #1968",HIGH,RESTATEMENT. Parents #67 and #497: the adopted Specification prevails over historical software behavior.
1968,Spatial Ground Must Preserve the Distinction Between Canonical Truth and Backward Compatibility,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#393, #133, #1967",HIGH,Root parents #133 and #393. New on the correction boundary: compatibility is worth keeping only where it preserves correct semantics; compatibility with an old error never perpetuates false Ground.
1969,Spatial Ground Must Preserve the Distinction Between Compatibility and Equivalence,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#65, #342, #1970",HIGH,"Root parent #65. New distinction: two systems that interoperate need not represent Ground identically; equivalence is tested, never inferred from successful exchange."
1970,Spatial Ground Must Preserve the Distinction Between Exchangeability and Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#216, #1294, #1971",HIGH,RESTATEMENT. Parent #216.
1971,Spatial Ground Must Preserve the Distinction Between Serialization Identity and Spatial Identity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#557, #1539, #1972",HIGH,"RESTATEMENT. Parent #29 via #557 (""unless that byte sequence is explicitly adopted"")."
1972,Spatial Ground Must Preserve the Distinction Between Canonical Form and Canonical Meaning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Canonical Equivalence,"#116, #219, #1971",HIGH,RESTATEMENT. Parents #65 and #116: a canonical form serves comparison; meaning is the deeper concern.
1973,Spatial Ground Must Preserve the Distinction Between Parsing and Interpretation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Conformance and Validation,"#612, #613, #1974",HIGH,RESTATEMENT. Parent #64 via #612: parsing and interpretation are both governed.
1974,Spatial Ground Must Preserve the Distinction Between Syntax Error and Spatial Error,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#306, #613, #1975",HIGH,RESTATEMENT. Parent #299 via #306.
1975,Spatial Ground Must Preserve the Distinction Between Valid Syntax and Valid Ground,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Conformance and Validation,"#613, #64, #1976",HIGH,RESTATEMENT. Parent #64 via #613.
1976,Spatial Ground Must Preserve the Distinction Between Valid Ground and Adopted Ground,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Institutional Authority and Adoption,"#503, #154, #1977",HIGH,RESTATEMENT. Parent #503.
1977,Spatial Ground Must Preserve the Distinction Between Adoption and Activation,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Institutional Authority and Adoption,"#503, #600, #1978",HIGH,"Root parents #503 and #600. New lifecycle distinction: Ground may be formally adopted before any implementation activates or serves it. AUTHORITY GAP: ""formally adopted""."
1978,Spatial Ground Must Preserve the Distinction Between Activation and Existence,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#599, #449, #1979",HIGH,RESTATEMENT. Parents #4 and #8 via #449 and #599.
1979,Spatial Ground Must Preserve the Distinction Between Deactivation and Non-Existence,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Runtime Independence,"#446, #205, #1978",HIGH,RESTATEMENT. Parent #4 via #446.
1980,Spatial Ground Must Preserve the Distinction Between Availability and Ontology,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#205, #1336, #1979",HIGH,RESTATEMENT. Parents #19 and #15 via #205.
1981,Spatial Ground Must Preserve the Distinction Between Persistence and Ontology,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #592, #1985",HIGH,INSTANCE. Parent #19: persistence systems.
1982,Spatial Ground Must Preserve the Distinction Between Provenance and Ontology,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#221, #130, #1515",HIGH,"RESTATEMENT. Parent #19 via #221: provenance explains lineage and integrity and is never the source of spatial identity. Bears on reserved #661: provenance is evidence about a record, below the authority that adopts it."
1983,Spatial Ground Must Preserve the Distinction Between Governance and Ontology,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Institutional Authority and Adoption,"#1740, #1742, #132",HIGH,RESTATEMENT. Parent #1740.
1984,Spatial Ground Must Preserve the Distinction Between Security and Ontology,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#651, #82, #1287",HIGH,RESTATEMENT. Parent #19 via #651.
1985,Spatial Ground Must Preserve the Distinction Between Storage and Ontology,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #18, #1981",HIGH,INSTANCE. Parent #19: storage.
1986,Spatial Ground Must Preserve the Distinction Between Computation and Ontology,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#449, #19, #1987",HIGH,RESTATEMENT. Parents #8 and #19 via #449.
1987,Spatial Ground Must Preserve the Distinction Between Query and Ontology,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#450, #449, #1986",HIGH,RESTATEMENT. Parents #8 and #19 via #450.
